SRR3467037,Oxyacanthus_curtus
SRR3467038,Oxyacanthus_flavus
SRR3467039,Oxyacanthus_sowinskii
SRR3467040,Brachyuropus_grewingkii
SRR3467041,Acanthogammarus_godlewskii
SRR3467042,Cornugammarus_maximus
SRR3467043,Boeckaxelia_carpenterii
SRR3467044,Boeckaxelia_potanini
SRR3467045,Baikalogammarus_pullus
SRR3467046,Brandtia_latissima
SRR3467047,Asprogammarus_rhodophthalmus
SRR3467048,Carinurus_bicarinatus
SRR3467049,Crypturopus_inflatus
SRR3467050,Echiuropus_macronychus
SRR3467051,Eucarinogammarus_wagii
SRR3467052,Sluginella_kietlinskii
SRR3467053,Eulimnogammarus_similis
SRR3467054,Eulimnogammarus_ussolzewii
SRR3467055,Eulimnogammarus_violaceus
SRR3467056,Heterogammarus_sophianosii
SRR3467057,Eulimnogammarus_cyaneus
SRR3467058,Eulimnogammarus_marituji
SRR3467059,Eulimnogammarus_testaceus
SRR3467060,Eulimnogammarus_viridulus
SRR3467061,Eulimnogammarus_vittatus
SRR3467062,Eulimnogammarus_cruentus
SRR3467063,Eulimnogammarus_cruentus
SRR3467064,Eulimnogammarus_czerskii
SRR3467065,Eulimnogammarus_messerschmidtii
SRR3467066,Eulimnogammarus_sp._gam2quest
SRR3467067,Eulimnogammarus_sp._gam16.4
SRR3467068,Eulimnogammarus_verrucosus
SRR3467069,Gammarus_lacustris
SRR3467070,Garjajewia_dershawini
SRR3467071,Gmelinoides_fasciatus
SRR3467072,Hyalellopsis_carinata
SRR3467073,Hyalellopsis_costata
SRR3467074,Hyalellopsis_grisea
SRR3467075,Hyalellopsis_setosa
SRR3467076,Hyalellopsis_stebbingi
SRR3467077,Macrohectopus_branickii
SRR3467078,Macropereiopus_wagneri
SRR3467079,Macropereiopus_parvus
SRR3467080,Micruropus_glaber
SRR3467081,Micruropus_parvulus
SRR3467082,Linevichella_vortex
SRR3467083,Micruropus_wahlii
SRR3467084,Odontogammarus_calcaratus
SRR3467085,Ommatogammarus_albinus
SRR3467086,Ommatogammarus_flavus
SRR3467087,Pachyschesis_branchialis
SRR3467088,Pachyschesis_branchialis
SRR3467089,Homalogammarus_brandtii
SRR3467090,Pentagonurus_dawydowi
SRR3467091,Pallasea_cancelloides
SRR3467092,Pallasea_cancelloides
SRR3467093,Pallasea_cancellus
SRR3467094,Pallasea_grubei
SRR3467095,Pallaseopsis_kessleri
SRR3467096,Pallasea_sp._gam7.3
SRR3467097,Pandorites_podoceroides
SRR3467098,Parapallasea_borowskii
SRR3467099,Parapallasea_wosnessenskii
SRR3467100,Palicarinus_puzyllii
SRR3467101,Poekilogammarus_pictoides
SRR3467102,Dorogostaiskia_parasitica
