#,Species,MWS,LWS,Other
1,Acanthogammarus_godlewskii,0,3,0
2,Asprogammarus_rhodophthalmus,0,1,0
3,Boeckaxelia_carpenterii,0,1,0
4,Brandtia_latissima,0,2,0
5,Caprella_sp,0,1,0
6,Carinurus_bicarinatus,0,1,0
7,Dorogostaiskia_parasitica,0,2,0
8,Echinogammarus_berilloni,1,2,0
9,Echiuropus_macronychus,0,5,0
10,Eulimnogammarus_cyaneus,0,3,0
11,Gammarus_chevreuxi,1,3,0
12,Gammarus_fossarum,1,2,0
13,Gammarus_lacustris,0,2,0
14,Gammarus_minus,0,2,0
15,Gammarus_pisinnus,0,2,0
16,Gammarus_pulex,1,3,0
17,Gammarus_wautieri,1,2,0
18,Gmelinoides_fasciatus,0,4,0
19,Heterogammarus_sophianosii,0,2,0
20,Hirondellea_gigas,0,1,0
21,Homalogammarus_brandtii,0,3,0
22,Hyalellopsis_costata,0,2,0
23,Linevichella_vortex,0,5,0
24,Macropereiopus_parvus,0,1,0
25,Marinogammarus_marinus,1,2,0
26,Micruropus_wahlii,0,3,0
27,Odontogammarus_calcaratus,0,3,0
28,Ommatogammarus_albinus,0,1,0
29,Oxyacanthus_curtus,0,2,0
30,Pachyschesis_branchialis,0,1,0
31,Palicarinus_puzyllii,0,2,0
32,Pallasea_cancelloides,0,3,0
33,Parapallasea_wosnessenskii,0,1,0
34,Parhyale_hawaiensis,1,1,0
35,Poekilogammarus_pictoides,0,2,0
36,Talitrus_saltator,1,2,2
