	Xm	Ym	Species	Light	Where	Photo	Lab.acclimation
1	30.716	0.683	Gm. fasciatus	Y	R	P6163088	short
2	7.117	0.798	Gm. fasciatus	Y	R	P6163088	short
3	7.463	0.831	Gm. fasciatus	Y	R	P6163088	short
4	57.326	1.72	Gm. fasciatus	Y	R	P6163088	short
5	25.022	2.329	Gm. fasciatus	Y	R	P6163088	short
6	27.194	2.625	Gm. fasciatus	Y	R	P6163088	short
7	53.524	2.806	Gm. fasciatus	Y	R	P6163088	short
8	5.949	2.921	Gm. fasciatus	Y	R	P6163088	short
9	27.128	3.036	Gm. fasciatus	Y	R	P6163088	short
10	55.302	3.102	Gm. fasciatus	Y	R	P6163088	short
11	20.71	3.184	Gm. fasciatus	Y	R	P6163088	short
12	48.834	3.76	Gm. fasciatus	Y	R	P6163088	short
13	5.176	4.698	Gm. fasciatus	Y	R	P6163088	short
14	5.735	4.764	Gm. fasciatus	Y	R	P6163088	short
15	6.196	5.143	Gm. fasciatus	Y	R	P6163088	short
16	5.834	5.208	Gm. fasciatus	Y	R	P6163088	short
17	37.463	5.768	Gm. fasciatus	Y	R	P6163088	short
18	52.948	5.949	Gm. fasciatus	Y	R	P6163088	short
19	9.635	6.969	Gm. fasciatus	Y	R	P6163088	short
20	10.557	7.907	Gm. fasciatus	Y	R	P6163088	short
1	23.302	0.253	Gm. fasciatus	G	R	P6163089	short
2	36.681	0.613	Gm. fasciatus	G	R	P6163089	short
3	10.234	0.743	Gm. fasciatus	G	R	P6163089	short
4	6.101	0.874	Gm. fasciatus	G	R	P6163089	short
5	6.346	2.148	Gm. fasciatus	G	R	P6163089	short
6	6.885	2.246	Gm. fasciatus	G	R	P6163089	short
7	6.346	2.655	Gm. fasciatus	G	R	P6163089	short
8	5.186	2.736	Gm. fasciatus	G	R	P6163089	short
9	4.696	3.569	Gm. fasciatus	G	R	P6163089	short
10	6.363	3.798	Gm. fasciatus	G	R	P6163089	short
11	3.243	3.978	Gm. fasciatus	G	R	P6163089	short
12	7.522	3.994	Gm. fasciatus	G	R	P6163089	short
13	6.15	4.076	Gm. fasciatus	G	R	P6163089	short
14	7.882	4.157	Gm. fasciatus	G	R	P6163089	short
15	7.294	4.435	Gm. fasciatus	G	R	P6163089	short
16	4.451	5.285	Gm. fasciatus	G	R	P6163089	short
17	6.314	6.003	Gm. fasciatus	G	R	P6163089	short
18	56.186	6.248	Gm. fasciatus	G	R	P6163089	short
19	11.492	6.804	Gm. fasciatus	G	R	P6163089	short
20	11.721	8.16	Gm. fasciatus	G	R	P6163089	short
1	6.668	1.216	Gm. fasciatus	R	R	P6163090	short
2	56.172	1.298	Gm. fasciatus	R	R	P6163090	short
3	5.737	1.542	Gm. fasciatus	R	R	P6163090	short
4	42.821	1.999	Gm. fasciatus	R	R	P6163090	short
5	57.364	2.016	Gm. fasciatus	R	R	P6163090	short
6	47.342	2.163	Gm. fasciatus	R	R	P6163090	short
7	39.769	2.636	Gm. fasciatus	R	R	P6163090	short
8	23.071	2.816	Gm. fasciatus	R	R	P6163090	short
9	5.345	2.881	Gm. fasciatus	R	R	P6163090	short
10	6.439	3.371	Gm. fasciatus	R	R	P6163090	short
11	53.871	3.436	Gm. fasciatus	R	R	P6163090	short
12	5.59	3.517	Gm. fasciatus	R	R	P6163090	short
13	20.639	3.55	Gm. fasciatus	R	R	P6163090	short
14	24.573	3.648	Gm. fasciatus	R	R	P6163090	short
15	5.117	4.856	Gm. fasciatus	R	R	P6163090	short
16	56.923	4.872	Gm. fasciatus	R	R	P6163090	short
17	5.998	6.031	Gm. fasciatus	R	R	P6163090	short
18	5.182	6.325	Gm. fasciatus	R	R	P6163090	short
19	15.677	6.57	Gm. fasciatus	R	R	P6163090	short
20	5.656	7.631	Gm. fasciatus	R	R	P6163090	short
1	6.244	0.712	Gm. fasciatus	B	R	P6163091	short
2	5.115	1.007	Gm. fasciatus	B	R	P6163091	short
3	56.538	1.007	Gm. fasciatus	B	R	P6163091	short
4	51.187	2.872	Gm. fasciatus	B	R	P6163091	short
5	30.057	2.954	Gm. fasciatus	B	R	P6163091	short
6	9.615	3.527	Gm. fasciatus	B	R	P6163091	short
7	54.738	3.838	Gm. fasciatus	B	R	P6163091	short
8	6.195	4.64	Gm. fasciatus	B	R	P6163091	short
9	11.252	4.689	Gm. fasciatus	B	R	P6163091	short
10	5.998	4.951	Gm. fasciatus	B	R	P6163091	short
11	4.951	5.033	Gm. fasciatus	B	R	P6163091	short
12	41.563	5.213	Gm. fasciatus	B	R	P6163091	short
13	7.128	5.311	Gm. fasciatus	B	R	P6163091	short
14	13.232	5.409	Gm. fasciatus	B	R	P6163091	short
15	5.458	5.606	Gm. fasciatus	B	R	P6163091	short
16	54.82	5.671	Gm. fasciatus	B	R	P6163091	short
17	7.831	5.966	Gm. fasciatus	B	R	P6163091	short
18	4.313	6.506	Gm. fasciatus	B	R	P6163091	short
19	12.725	6.555	Gm. fasciatus	B	R	P6163091	short
20	2.463	7.046	Gm. fasciatus	B	R	P6163091	short
1	16.17	0.81	Gm. fasciatus	K	K	P6163092	short
2	29.419	0.826	Gm. fasciatus	K	K	P6163092	short
3	6.977	1.186	Gm. fasciatus	K	K	P6163092	short
4	7.533	1.579	Gm. fasciatus	K	K	P6163092	short
5	2.887	1.693	Gm. fasciatus	K	K	P6163092	short
6	23.138	1.791	Gm. fasciatus	K	K	P6163092	short
7	23.171	2.167	Gm. fasciatus	K	K	P6163092	short
8	9.692	2.495	Gm. fasciatus	K	K	P6163092	short
9	10.232	2.707	Gm. fasciatus	K	K	P6163092	short
10	5.537	2.756	Gm. fasciatus	K	K	P6163092	short
11	17.707	2.773	Gm. fasciatus	K	K	P6163092	short
12	5.406	3.116	Gm. fasciatus	K	K	P6163092	short
13	6.862	4.032	Gm. fasciatus	K	K	P6163092	short
14	47.2	4.359	Gm. fasciatus	K	K	P6163092	short
15	42.293	4.801	Gm. fasciatus	K	K	P6163092	short
16	12.276	5.504	Gm. fasciatus	K	K	P6163092	short
17	15.613	6.715	Gm. fasciatus	K	K	P6163092	short
18	20.275	7.075	Gm. fasciatus	K	K	P6163092	short
19	32.315	7.222	Gm. fasciatus	K	K	P6163092	short
20	17.625	7.811	Gm. fasciatus	K	K	P6163092	short
1	43.465	0.596	Gm. fasciatus	B	L	P6163093	short
2	33.748	0.825	Gm. fasciatus	B	L	P6163093	short
3	8.811	0.972	Gm. fasciatus	B	L	P6163093	short
4	55.778	1.102	Gm. fasciatus	B	L	P6163093	short
5	54.064	1.984	Gm. fasciatus	B	L	P6163093	short
6	57.379	1.984	Gm. fasciatus	B	L	P6163093	short
7	56.481	2.017	Gm. fasciatus	B	L	P6163093	short
8	54.848	2.066	Gm. fasciatus	B	L	P6163093	short
9	54.358	2.376	Gm. fasciatus	B	L	P6163093	short
10	53.786	2.572	Gm. fasciatus	B	L	P6163093	short
11	55.37	2.719	Gm. fasciatus	B	L	P6163093	short
12	54.358	3.585	Gm. fasciatus	B	L	P6163093	short
